Property,Category Name,Fans (Latest in Date Range),Post Type,Promoted,Total Actions,Total Actions (Percent Share),Link to Post,Content of Post,Reactions,Comments,Shares,Views,Views (7 Days),Views (28 Days),Views (90 Days),Clicks,Was Live,Branded Content,Branded Content Sponsor,Link to Branded Content Sponsor,Date Published (UTC)
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,33,0.86%,https://www.facebook.com/117917151585263/posts/1563912370319060,"#OceanSpray Farmer-Owners, Clinton and Lauren May, try to curb their enthusiasm as Cheryl Hines visits our #cranberry #bog at the Kari Feinstein Public Relations #StyleLounge",29,1,3,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-15T21:03:26+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,Promoted,33,0.86%,https://www.facebook.com/117917151585263/posts/1459446794098952,"Fuel your morning with Craisins® Dried Cranberries! One serving accounts for 25% of your daily fruit intake, so toss some in your fruit bowl or snack straight out of the bag (we won't judge). Check out all our delicious flavors!",29,2,2,0,0,0,0,18,,FALSE,n/a,n/a,2017-06-02T14:03:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,32,0.83%,https://www.facebook.com/117917151585263/posts/1459474560762842,"Serve up something berry delicious this Fourth of July, like our Red, White, and Blue Shortcakes!",26,1,5,0,0,0,0,32,,FALSE,n/a,n/a,2017-07-04T14:34:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,29,0.75%,https://www.facebook.com/117917151585263/posts/1565358116841152,CRAN YOU SAY RED HOT? Shanola Hampton from #Shameless worked that cranberry #redcarpet at the Kari Feinstein Public Relations #StyleLounge! Thanks for stopping by for the #TVAwards pre-celebration! Can't wait for tonight's #AwardsShow,27,0,2,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-17T15:01:27+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,Promoted,29,0.75%,https://www.facebook.com/117917151585263/posts/1561927047184259,Wishing you could enjoy a refreshing Cranberry Sangria on the sidelines? Ocean Spray® Mocktails lets you have a #HappierHour wherever life takes you - even at your kids’ sports games! #CheersMama http://bit.ly/2x1oKQa,25,2,2,0,0,0,0,10,,FALSE,n/a,n/a,2017-09-13T15:13:50+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,28,0.73%,https://www.facebook.com/117917151585263/posts/1533383980038566,"Last minute road trip? Stock up on the best car snacks to limit the ""are we there yet"" moments with Craisins® Dried Cranberries, a proud partner of Team FNV. #TheAnswerisCraisins http://bit.ly/1BuLB1D",27,1,0,"1,739","1,608","1,683","1,739",3,,FALSE,n/a,n/a,2017-08-13T12:20:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,,27,0.70%,https://www.facebook.com/117917151585263/posts/1533374370039527,"Get back to the basics, build better beach snacks with your favorite fruits, like Craisins® Dried Cranberries, a proud partner of Team FNV #TheAnswerisCraisins http://bit.ly/2vVRhqW",21,2,4,"1,075",946,"1,023","1,075",2,,FALSE,n/a,n/a,2017-08-11T14:08:31+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,Promoted,26,0.68%,https://www.facebook.com/117917151585263/posts/1549986921711605,"You are what you eat. And cranberries & carrots are pretty cool. Don't forget to pack your Craisins® Dried Cranberries, a proud partner of Team FNV #TheAnswerisCraisins http://bit.ly/1BuLB1D",22,2,2,"1,396","1,161","1,319","1,396",5,,FALSE,n/a,n/a,2017-08-30T15:34:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,26,0.68%,https://www.facebook.com/117917151585263/posts/1459481937428771,Try our sweet and spicy twist on everyone's favorite snack.,20,3,3,0,0,0,0,68,,FALSE,n/a,n/a,2017-07-31T17:46:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",link,,26,0.68%,https://www.facebook.com/117917151585263/posts/1459465270763771,Happy Father's Day! Kick back and enjoy this easy Slow Cooker Sweet and Smokey Barbeque Pulled Pork to celebrate the greatest guy around!,24,0,2,0,0,0,0,39,,FALSE,n/a,n/a,2017-06-18T18:20:00+00:00
