ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
8/2/16,8:57,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,8,Tue
8/2/16,8:58,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,8,Tue
7/27/16,14:53,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Wed
8/1/16,16:35,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,16,Mon
11/10/16,11:32,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Thu
11/1/16,10:56,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
10/25/16,11:02,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Tue
10/21/16,11:16,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Fri
10/24/16,7:43,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,7,Mon
6/24/16,9:23,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,9,Fri
6/27/16,16:40,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,16,Mon
6/16/16,13:21,$470.00,LOT 12A - ONYX-LAWRENCE,DISABLED SPACE PSTD,13,Thu
6/10/16,9:32,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,9,Fri
9/16/15,16:24,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,16,Wed
5/16/16,14:00,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Mon
5/13/16,12:15,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,12,Fri
5/13/16,12:16,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,12,Fri
10/13/16,15:53,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,15,Thu
11/9/15,11:34,$35.00,LOT 12A - ONYX-LAWRENCE,YELLOW ZONE,11,Mon
11/9/15,12:48,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,12,Mon
11/9/15,12:49,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,12,Mon
9/18/15,16:02,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,16,Fri
11/10/15,9:25,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,9,Tue
9/21/15,17:03,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,17,Mon
6/2/16,9:03,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,9,Thu
10/18/16,10:20,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,10,Tue
10/18/16,15:29,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,15,Tue
8/16/16,10:40,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
8/16/16,10:42,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
8/16/16,10:43,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
7/27/16,14:53,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Wed
9/10/15,11:46,$40.00,LOT 12A - ONYX-LAWRENCE,NO UO PERMIT,11,Thu
7/7/16,8:53,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME STREET MTR,8,Thu
7/20/16,14:41,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Wed
9/8/15,14:03,$75.00,LOT 12A - ONYX-LAWRENCE,RESERVED SPACE,14,Tue
7/7/16,9:00,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,9,Thu
11/3/15,10:45,$40.00,LOT 12A - ONYX-LAWRENCE,NO UO PERMIT,10,Tue
7/12/16,11:00,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Tue
